"href","nom","photo","bloc","groupe_id","liste","region","sexe","age","profession","siege"
"elus/Samia_Abbou.html","Samia Abbou","/2014/uploads/images/abbou samia.thumb50.png","Bloc Démocrate","Bloc_Démocrate","Courant Démocratique","Tunis 1","Femmes","52","Avocat","212"
"elus/Badreddine_Abdelkefi.html","Badreddine Abdelkefi","/2014/uploads/images/Badreddine_Abdelkefi.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Sfax 2","Hommes","58","Enseignant du secondaire","6"
"elus/Mohamed_Abdellaoui.html","Mohamed Abdellaoui","/2014/uploads/images/abdellaoui mohamed_1.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Sidi Bouzid","Hommes","0","","107"
"elus/Abir_Abdelli.html","Abir Abdelli","/2014/uploads/images/Abir_Abdelli.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Sidi Bouzid","Femmes","40","Cadre supérieur dans le secteur privé","150"
"elus/Asma_Bou_Hana.html","Asma Abou Hana","/2014/uploads/images/Asma_Bou Hana.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Gafsa","Femmes","39","Huissier de justice","34"
"elus/Mohamed_Anouar_Adhar.html","Mohamed Anouar Adhar","/2014/uploads/images/adhar mohamed anouar.thumb50.png","Afek Tounes et l'appel des tunisiens à l'étranger","Afek_Tounes_et_lappel_des_tunisiens_à_létranger","Afek Tounes","Sfax 2","Hommes","59","Ingénieur ","161"
"elus/Oussama_Al_Sghaier.html","Oussama Al Sghaier","/2014/uploads/images/Oussama_Al Saghir.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Italie","Hommes","34","Représentant d'association","93"
"elus/Lotfi_Ali.html","Lotfi Ali","/2014/uploads/images/ali lotfi.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Parti l'initiative","Gafsa","Hommes","52","Chef d'entreprise","18"
"elus/Aymen_Aloui.html","Aymen Aloui","/2014/uploads/images/aloui aymen.thumb50.png","Front Populaire","Front_Populaire","Front Populaire","Kasserine","Hommes","36","Fonctionnaire dans le secteur privé","41"
"elus/Souhail_Alouini.html","Souhail Alouini","/2014/uploads/images/Souhail_Alouini.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","Kairouan","Hommes","60","Médecin ","152"
"elus/Nizar_Amami.html","Nizar Amami","/2014/uploads/images/amami nizar.thumb50.png","Front Populaire","Front_Populaire","Front Populaire","La Manouba","Hommes","55","Fonctionnaire publique","206"
"elus/Ahmed_Ameri.html","Ahmed Ameri","/2014/uploads/images/Ahmed_Ameri.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Medenine","Hommes","65","Retraité","7"
"elus/Hssan_Amri.html","Hssan Amri","/2014/uploads/images/Hssan_Amri.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Ariana","Hommes","40","Commerçant","104"
"elus/Noura_Amri.html","Noura Amri","/2014/uploads/images/noura_amri.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Sousse","Femmes","0","","249"
"elus/Ammar_Amroussia.html","Ammar Amroussia","/2014/uploads/images/amroussia ammar.thumb50.png","Front Populaire","Front_Populaire","Front Populaire","Gafsa","Hommes","57","Instituteur enseignement de base","113"
"elus/Mbarka_Aouania.html","Mbarka Aouania ","/2014/uploads/images/aouania mbarka.thumb50.png","Front Populaire","Front_Populaire","Front Populaire","Sidi Bouzid","Femmes","50","Instituteur enseignement de base","156"
"elus/Jihen_Aouichi.html","Jihen Aouichi","/2014/uploads/images/Jihen_Aouichi.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Jendouba","Femmes","33","Avocat","101"
"elus/Sahbi_Atig.html","Sahbi Atig","/2014/uploads/images/Sahbi_Atig.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Ariana","Hommes","58","Chercheur universitaire","57"
"elus/Wafa_Attia.html","Wafa Attia","/2014/uploads/images/wafa attia.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Sousse","Femmes","0","","276"
"elus/Chafik_Ayadi.html","Chafik Ayadi","/2014/uploads/images/Chafik_Ayadi.thumb50.png","Front Populaire","Front_Populaire","Front Populaire","Sfax 1","Hommes","61","Enseignant du secondaire","74"
"elus/Chaker_Ayadi.html","Chaker Ayadi","/2014/uploads/images/Chaker_Ayadi.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Jendouba","Hommes","50","Avocat","146"
"elus/Fathi_Ayadi.html","Fathi Ayadi","/2014/uploads/images/Fathi_Ayadi.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Sfax 1","Hommes","53","Enseignant du secondaire","182"
"elus/Dalila_Babba.html","Dalila Babba","/2014/uploads/images/Dalila_Babba.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","France 2","Femmes","51","Non catégorisé","132"
"elus/Kalthoum_Badreddine.html","Kalthoum Badreddine","/2014/uploads/images/Kalthoum_Badreddine.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Sfax 2","Femmes","54","Avocat","184"
"elus/Chakib_Bani.html","Chakib Bani","/2014/uploads/images/bani chakib.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Nabeul 1","Hommes","34","Enseignant universitaire","147"
