href,nom,photo,bloc,groupe_id,liste,region,sexe,age,profession,siege
elus/Mohamed_Abdellaoui,Mohamed Abdellaoui,./2014/uploads/images/abdellaoui mohamed_1.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Sidi Bouzid,Male,0,,107
elus/Noura_Amri,Noura Amri,./2014/uploads/images/noura_amri.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Sousse,Female,0,,249
elus/Wafa_Attia,Wafa Attia,./2014/uploads/images/wafa attia.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sousse,Female,0,,276
elus/Heger_Ben_Cheikh_Ahmed,Heger Ben Cheikh Ahmed,./2014/uploads/images/hager ben cheikh ahmed_1.thumb50.png,Afek Tounes,Afek_Tounes_et_lappel_des_tunisiens_à_létranger,Afek Tounes,Tunis 2,Female,0,,77
elus/Nozha_Biaoui,Nozha Biaoui,./2014/uploads/images/dsc_0108.thumb50.png,Afek Tounes,Afek_Tounes_et_lappel_des_tunisiens_à_létranger,Front National du Salut,Sidi Bouzid,Female,0,,163
elus/Marouan_Felfel,Marouan Felfel,./2014/uploads/images/marouan felfel.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,France 1,Male,0,,253
elus/Lamia_Gharbi,Lamia Gharbi,./2014/uploads/images/lamia gharbi.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Nabeul 1,Female,0,,196
elus/Olfa_Jouini,Olfa Jouini,./2014/uploads/images/olfa jouini.thumb50.png,Free Patriotic Union,Union_Patriotique_Libre,Free Patriotic Union,Tunis 1,Female,0,,76
elus/Taoufik_Ouali,Taoufik Ouali,./2014/uploads/images/taoufik ouali.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Bizerte,Male,0,,72
elus/Abdelouahab_Ouerfelli,Abdelouahab Ouerfelli,./2014/uploads/images/ouerfelli.thumb50.png,Aucun bloc,Aucun_bloc,Al Jomhouri,Siliana,Male,0,,118
elus/Houda_Slim,Houda Slim,./2014/uploads/images/houda slim.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Tunis 2,Female,0,,283
elus/Lilia_Younes_Ksibi,Lilia Younes Ksibi,./2014/uploads/images/younes ksibi lilia.thumb50.png,Afek Tounes,Afek_Tounes_et_lappel_des_tunisiens_à_létranger,Afek Tounes,Nabeul 1,Female,0,,117
elus/Amira_Zoukari,Amira Zoukari,,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Ben Arous,Female,0,,65
elus/Khaoula_Ben_Aicha,Khawla Ben Aicha,./2014/uploads/images/Khaoula_Ben Aicha.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,France 1,Female,29,Researcher,109
elus/Heger_Bouzemmi,Heger Bouzemmi,./2014/uploads/images/Heger_Bouzemmi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Medenine,Female,29,Student,274
elus/Sabrine_Goubantini,Sabrine Goubantini,./2014/uploads/images/Goubantini.thumb50.png,Bloc National,Bloc_National,Mouvement Nidaa Tounes,Ariana,Female,29,Accountant,271
elus/Amal_Souid,Amal Souid,./2014/uploads/images/Amal_Souid.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Gabès,Female,29,Student,94
elus/Sana_Salhi,Sana Salhi,./2014/uploads/images/Sana_Salhi.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Siliana,Female,30,Teacher,145
elus/Nawel_Tayech,Nawel Tayech,./2014/uploads/images/Nawel_Tayech.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Sousse,Female,31,Employee,248
elus/Imen_Ben_Mhamed,Imen Ben Mhamed,./2014/uploads/images/Imen_Ben Mhamed.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Italie,Female,32,Representative d'association,63
elus/Zeineb_Brahmi,Zeineb Brahmi,./2014/uploads/images/Zeineb_Brahmi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Gafsa,Female,32,Lawyer,135
elus/Sana_Mersni,Sana Mersni,./2014/uploads/images/Sana_Mersni.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Jendouba,Female,32,Lawyer,140
elus/Jihen_Aouichi,Jihen Aouichi,./2014/uploads/images/Jihen_Aouichi.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Jendouba,Female,33,Lawyer,101
elus/Ikram_Moulahi,Ikram Moulahi,./2014/uploads/images/Ikram_Moulahi.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Kasserine,Female,33,Student,36
elus/Oussama_Al_Sghaier,Oussama Al Sghaier,./2014/uploads/images/Oussama_Al Saghir.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Italie,Male,34,Representative d'association,93
elus/Chakib_Bani,Chakib Bani,./2014/uploads/images/bani chakib.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Nabeul 1,Male,34,Professor,147
elus/Karima_Taggaz,Karima  Taggaz,./2014/uploads/images/photo_1.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,France 1,Female,34,,33
elus/Dorra_Yaacoubi,Dorra Yaacoubi,./2014/uploads/images/yaacoubi dorra.thumb50.png,Free Patriotic Union,Union_Patriotique_Libre,Free Patriotic Union,Jendouba,Female,34,Professor,114
elus/Hayet_Omri,Hayet Omri,./2014/uploads/images/Hayet_Omri.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sidi Bouzid,Female,35,Researcher,131
elus/Imed_Ouled_Jebril,Imed Ouled Jebril,./2014/uploads/images/Imed_Ouled Jebril.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Mahdia,Male,35,Teacher,192
elus/Radhia_Toumi,Radhia Toumi,./2014/uploads/images/Radhia_Toumi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Gabès,Female,35,Docteur ,133
elus/Aymen_Aloui,Aymen Aloui,./2014/uploads/images/aloui aymen.thumb50.png,Popular Front,Front_Populaire,Popular Front,Kasserine,Male,36,Employee,41
