id;name;dec-2014;janv-16;avr-16;mai-17;voix;gouver;link
1;Rabha Ben Hassine;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;50448;Mahdia;images/Rabha Ben Hassine.png
2;Slah Bargaoui;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;16618;Siliana;images/Salah_Bargaoui.png
3;Sahbi Ben Fraj;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;115045;Tunis 2;images/Sahbi_Ben Fraj.png
4;Abada Kefi;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;34885;Le Kef;images/Abada_Kefi.png
5;Abderraouf El May;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;4451;Pays arabes et reste du monde;images/El May.png
6;Abderraouf Cherif;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;4845;Tozeur;images/Abderraouf_Cherif.png
7;Mustapha Ben Ahmed;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc National;115045;Tunis 2;images/Mustapha_Ben Ahmed.png
8;Taoufik Ouaili;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;56968;Bizerte;images/taoufik ouali.png
9;Mohamed Nejib Torjmane;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;38009;La Mannouba;images/Mohamed_Nejib_Torjmane.png
10;Mondher Belhaj Ali;Mouvement Nidaa Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc Al Horra du Mouvement Machrouu Tounes;Bloc National;38009;La Mannouba;images/Mondher_Belhaj Ali.png
