branch,sub_branch,sub_sub_branch,sum,id
المداخيل الجبائيّة الإعتياديّة,المعاليم على العقارات والأنشطة,المعلوم على المؤسسات ذات الصبغة الصناعية أو التجارية أو المهنية,270000,1
المداخيل الجبائيّة الإعتياديّة,المعاليم على العقارات والأنشطة,المعلوم على النزل,150000,2
المداخيل الجبائيّة الإعتياديّة,المعاليم على العقارات والأنشطة,المعلوم على العقارات,145000,3
المداخيل الجبائيّة الإعتياديّة,المعاليم على العقارات والأنشطة,المبالغ المتأتية من صندوق التعاون بين الجماعات المحلية,70000,4
المداخيل الجبائيّة الإعتياديّة,المعاليم على العقارات والأنشطة,المعلوم على الأراضي غير المبنية,35000,5
المداخيل الجبائيّة الإعتياديّة,المعاليم على العقارات والأنشطة,معلوم الإجازة الموظف على محلات بيع المشروبات,10000,6
المداخيل الجبائيّة الإعتياديّة,مداخيل إشغال الملك العمومي البلدي واستلزام المرافق العمومية فيه,مداخيل الأسواق اليومية والأسبوعية والظرفية,81000,7
المداخيل الجبائيّة الإعتياديّة,مداخيل إشغال الملك العمومي البلدي واستلزام المرافق العمومية فيه,المعلوم العام للوقوف,35000,8
المداخيل الجبائيّة الإعتياديّة,مداخيل إشغال الملك العمومي البلدي واستلزام المرافق العمومية فيه,معلوم الإشغال الوقتي للطريق العام,30000,9
المداخيل الجبائيّة الإعتياديّة,مداخيل إشغال الملك العمومي البلدي واستلزام المرافق العمومية فيه,معلوم الإشهار,30000,10
المداخيل الجبائيّة الإعتياديّة,مداخيل إشغال الملك العمومي البلدي واستلزام المرافق العمومية فيه,المعلوم على رقم معاملات وكلاء البيع ومزودي سوق الجملة,25000,11
المداخيل الجبائيّة الإعتياديّة,مداخيل إشغال الملك العمومي البلدي واستلزام المرافق العمومية فيه,معلوم الذبح,25000,12
المداخيل الجبائيّة الإعتياديّة,مداخيل إشغال الملك العمومي البلدي واستلزام المرافق العمومية فيه,معلوم وقوف العربات بالطريق العام,15000,13
المداخيل الجبائيّة الإعتياديّة,مداخيل إشغال الملك العمومي البلدي واستلزام المرافق العمومية فيه,مداخيل أخرى,12000,14
المداخيل الجبائيّة الإعتياديّة,معاليم الموجبات والرخص الإدارية ومعاليم مقابل إسداء خدمات,المقابيض الاعتيادية للمعلوم الإضافي على سعر التيار الكهربائي,100000,15
المداخيل الجبائيّة الإعتياديّة,معاليم الموجبات والرخص الإدارية ومعاليم مقابل إسداء خدمات,المبالغ المتأتية من المعلوم الإضافي على سعر التيار الكهربائي,40000,16
المداخيل الجبائيّة الإعتياديّة,معاليم الموجبات والرخص الإدارية ومعاليم مقابل إسداء خدمات,معلوم التعريف بالإمضاء,25000,17
المداخيل الجبائيّة الإعتياديّة,معاليم الموجبات والرخص الإدارية ومعاليم مقابل إسداء خدمات,معلوم تسليم بطاقات الحالة المدنية,16000,18
المداخيل الجبائيّة الإعتياديّة,معاليم الموجبات والرخص الإدارية ومعاليم مقابل إسداء خدمات,معلوم رخص أشغال الطريق العام لتعاطي بعض المهن,15000,19
المداخيل الجبائيّة الإعتياديّة,معاليم الموجبات والرخص الإدارية ومعاليم مقابل إسداء خدمات,معلوم الإشهاد بمطابقة النسخ للأصل,10000,20
